Pool,Fees,TVL,Vol 24hr,Vol 7day
ETH/GMX,1,18830000,331460,4820000
iUSD/USDT,0.05,9440000,0.00,0.00
ETH/USDC,0.05,9210000,50940000,268200000
DAI/USDC,0.05,4220000,2200000,6930000
ETH/USDC,0.3,3480000,1670000,8910000
USDs/USDC,0.05,3300000,12320,405660
ETH/GMX,0.3,2630000,2390000,17970000
USDT/USDC,0.05,2540000,221180,2350000
WBTC/ETH,0.3,2250000,633760,3000000
USDD/USDC,0.05,1950000,0.00,0.00
TUSD/USDC,0.05,1910000,0.00,0.03
GMX/USDC,1,1240000,154070,2320000
UMAMI/ETH,1,918020,25350,461780
GMX/USDC,0.3,798220,579310,5140000
USDR/USDC,0.05,597290,1860,20520
CAP/ETH,0.3,502800,32020,295590
agEUR/USDC,0.05,495720,13750,30590
SPA/USDs,0.3,489130,0.00,0.00
ETH/DBL,0.3,460580,7070,112080
WBTC/USDC,0.3,443660,239620,1810000
ETH/DAI,0.3,417900,69690,649870
ETH/USDT,0.05,324080,633460,4240000
ETH/UNI,0.3,319400,207590,802850
UMAMI/cmUMAMI,1,314870,0.00,0.00
CRV/ETH,1,287750,26760,184610
ETH/LINK,0.3,275890,88170,886310
CNFI/ETH,0.3,257320,5200,12840
DAI/USDT,0.05,238130,22190,521809
ETH/MGN,1,219520,5410,225780
ETH/NFTI,1,197700,110.39,110.39
MGN/USDC,1,167380,36.12,233990
ETH/TAC,0.3,148750,0.00,0.00
APEX/ETH,0.3,142250,10160,26820
DPX/ETH,1,138910,4000,133090
DSLA/ETH,0.3,123530,0.00,0.00
MAGIC/ETH,1,103460,9890,123280
KROM/ETH,0.3,102020,2360,18980
ETH/USDT,0.3,93250,16340,97060
WBTC/ETH,0.05,90940,476550,1080000
BFR/ETH,1,76380,728.71,16480
