Pool,Fees,TVL,Vol 24hr,Vol 7day
NCT/cUSD,0.3,294210,2710,18130
CELO/cUSD,0.3,142120,16400,114910
cMCO2/CELO,0.3,134280,6210,37260
USDC/cUSD,0.01,121730,557.02,138330
NCT/CELO,0.3,118970,2880,20170
cUSD/cEUR,0.05,107900,31110,70420
CELO/WETH,0.3,48590,1040,5310
CELO/KNOX,0.3,33390,4.40,267.45
SOURCE/cUSD,0.3,24570,210.16,4050
CELO/WBTC,1,22020,47.22,47.47
cRECY/cUSD,1,3000,0.00,90.57
cMCO2/ETHIX,1,1060,0.00,0.00
USDC/CELO,0.05,794.08,80.79,305.77
CELO/cEUR,1,779.74,30.99,728.58
CELO/DAI,0.05,559.32,3.21,25.73
cUSD/DAI,0.01,386.30,0.00,10.05
cUSD/AVAX,0.05,314.04,0.00,74.42
CELO/WBTC,0.3,205.49,3.09,27.10
kUSD/KNOX,1,205.22,0.00,0.00
cUSD/cEUR,1,195.15,1.49,5.91
cUSD/USDC,0.01,81.48,0.00,0.00
WBTC/BTC,0.05,62.68,0.00,0.00
cEUR/cREAL,0.3,28.85,1.00,2.99
CELO/cUSD,0.05,27.54,0.00,0.00
cUSD/cREAL,0.3,20.95,0.00,8.68
PACT/CELO,0.3,20.13,0.00,11.39
cUSD/KNOX,0.3,13.46,0.00,3.85
cEUR/cREAL,0.05,8.89,1.35,1.99
CELO/mCUSD,0.3,7.10,0.48,0.95
CELO/cREAL,1,4.84,0.33,0.88
CELO/SYMM,0.3,1.87,0.00,0.00
WETH/CELO,0.3,1.57,0.00,0.00
CELO/stCELO,0.05,0.79,0.00,0.00
UBE/cREAL,0.3,0.29,0.00,0.00
cUSD/BTC,0.3,0.28,0.00,0.00
cUSD/cREAL,0.01,0.13,0.00,0.00
CELO/cUSD,1,0.05,0.00,0.001
CELO/SPC,1,0.03,0.00,0.00
cUSD/cEUR,0.01,0.02,0.00,0.00
cRECY/CELO,0.3,0.02,0.00,0.00
