Pool,Fees,TVL,Vol 24hr,Vol 7day
DAI/USDC,0.01,809960000,7720000,129669999
DAI/USDC,0.05,484720000,1170000,24680000
USDC/ETH,0.3,212930000,91770000,516990000
WBTC/ETH,0.3,207870000,21850000,171540000
USDC/ETH,0.05,170780000,408810000,2540000000
USDC/USDT,0.01,157670000,87210000,407240000
FRAX/USDC,0.05,116070000,89210,1220000
USDC/USDM,0.05,92070000,0.00,0.00
ETH/USDT,0.3,58860000,15440000,110600000
WBTC/USDC,0.3,54300000,76790000,141020000
WBTC/ETH,0.05,50100000,39090000,298470000
ETH/sETH2,0.3,36390000,70640,2290000
BUSD/USDC,0.05,23960000,2300000,2540000
USDC/ETH,1,23850000,613420,6180000
DAI/ETH,0.3,23670000,6100000,50180000
DAI/FRAX,0.05,23550000,44810,815550
USDC/USDT,0.05,21240000,3770000,25580000
BIT/ETH,0.3,20090000,321460,2660000
ETH/BTT,0.3,19910000,635060,4420000
agEUR/USDC,0.01,17520000,4490000,23910000
ETH/USDT,0.05,16900000,33200000,212230000
APE/ETH,0.3,15370000,3230000,29550000
PAX/ETH,0.3,14620000,1330000,9460000
LINK/ETH,0.3,14390000,5310000,69720000
ETH/ADS,1,13100000,0.00,0.00
USDC/AVINOC,0.3,11520000,18930,119800
sifu/USDT,1,10970000,2140,153870
USDD/USDC,0.01,10960000,12370,4750000
WBTC/renBTC,0.05,10200000,1150000,2510000
TUSD/USDC,0.01,10100000,4390000,23820000
USDT/AVINOC,0.3,9590000,6000,136600
DAI/AVINOC,0.3,9290000,15090,92190
DAI/ETH,0.05,9060000,26010000,109830000
UNI/ETH,0.3,8400000,2440000,16290000
rETH2/sETH2,0.05,8220000,0.00,0.00
HEX/USDC,0.3,8119999,2210000,22200000
FRAX/USDT,0.05,7830000,293120,1270000
DAI/HOPR,0.3,7200000,25470,111880
ETH/ETHM,0.05,6730000,0.00,0.00
ADST/ADS,0.05,6660000,0.00,0.00
