Pool,Fees,TVL,Vol 24hr,Vol 7day
WETH/USDC,0.05,16410000,41860000,242070000
WETH/DAI,0.3,10150000,3470000,24790000
WETH/OP,0.3,5670000,1150000,10440000
USDC/DAI,0.01,2940000,2270000,16990000
WETH/LYRA,1,2470000,67370,901330
WETH/WBTC,0.3,2300000,319200,2780000
sUSD/DAI,0.05,1980000,353410,1950000
THALES/WETH,0.3,1900000,45290,341920
WETH/PERP,0.3,1490000,170260,538150
WETH/FIRN,1,1190000,0.00,8070
WETH/USDC,0.3,1030000,273780,1600000
USDC/USDT,0.01,990010,1290000,5170000
OP/USDC,0.3,896700,540640,4430000
USDC/DAI,0.05,862700,241410,1150000
EST/DAI,0.3,807480,0.00,22.17
USDC/sUSD,0.05,678730,219400,1340000
WETH/SNX,0.3,672480,2069999,4990000
STG/USDC,0.3,605910,20720,259820
FRAX/USDC,0.05,416940,788.41,75650
DAI/XCHF,0.05,377190,4710,113040
WETH/OP,1,367820,3080,48740
WETH/UNI,0.3,269090,37670,179830
USDT/DAI,0.05,220360,8870,68550
WETH/USDT,0.05,209000,227170,1830000
USDT/DAI,0.01,191710,119510,1150000
WBTC/USDC,0.3,191000,45120,360970
USDC/USDT,0.05,176560,284.55,18570
WETH/KROM,0.3,160900,1390,11210
LINK/WETH,0.3,155140,57750,527370
WETH/rETH,0.3,108510,11090,141080
USDC/LUSD,0.3,99840,1280,57930
WETH/AAVE,1,80380,3800,67670
WETH/DAI,0.05,72850,52660,529500
OP/USDC,0.05,69140,103020,1100000
THALES/USDC,0.3,62610,0.00,0.00
WETH/USDT,1,55900,2110,27340
sUSD/USDT,0.05,55660,22800,107930
WETH/USDT,0.3,52490,2980,20250
WETH/sUSD,0.3,49240,19700,127390
WETH/AELIN,1,46780,0.00,4310
