Pool,Fees,TVL,Vol 24hr,Vol 7day
USDC/WETH,0.05,11490000,56240000,298830000
USDC/PDYF,0.01,10200000,44960,74300
WBTC/WETH,0.05,5240000,10970000,45460000
MATIC/USDC,0.05,4610000,27950000,155440000
WBTC/USDC,0.3,4010000,2530000,14110000
MATIC/WETH,0.3,3570000,1380000,5080000
USDC/WETH,0.3,3180000,3050000,14250000
USDC/DAI,0.01,2810000,2940000,10260000
USDC/USDT,0.01,2730000,1820000,8490000
MATIC/WETH,0.05,2530000,5060000,26040000
USDC/XSGD,0.05,2009999,136140,1160000
USDC/XMT,1,1880000,1660,19450
USDC/Zi,1,1530000,263.67,22550
WBTC/WETH,0.3,1150000,282910,2110000
MVX/USDC,1,1070000,3860,482360
USDC/XIDR,0.05,1030000,4810,32409
WETH/XSGD,0.3,1010000,83020,656630
USDC/BOB,0.05,999500,6430,56770
WBTC/USDC,0.05,829300,3300000,17020000
MATIC/TBAC,0.05,607190,650340,2910000
USDC/POP,0.3,592690,8470,46420
USDC/PAR,0.05,590140,80060,465550
FREC/MATIC,0.3,552090,4940,8360
XIDR/XSGD,0.05,543960,0.00,0.00
WETH/USDT,0.3,528830,315810,1610000
USDC/USDT,0.05,526210,55230,464780
WBTC/USDC,1,468010,37670,241310
MATIC/USDC,0.3,442230,260390,1360000
USDC/stMATIC,0.3,421030,448570,3620000
USDC/CGG,1,417010,565.53,5450
USDC/$MECHA,1,365760,1510,9330
WETH/UNI,0.3,345660,100520,494050
USDC/CHAMP,1,339340,1300,20250
USDC/agEUR,0.01,337400,99840,472800
MATIC/stMATIC,0.01,289240,817210,5310000
MATIC/USDT,0.05,288740,1790000,9940000
KASTA/USDC,0.3,282550,7700,62390
MATIC/UNI,0.3,280610,95940,289500
WETH/INST,1,275060,14870,21100
USDC/FLY,0.05,271130,73190,73210
